Variable,Group,Description,Unit / format,Data type,Transformation,Risk direction,Source institution,Source URL or DOI,Reference year / period,Spatial resolution / municipal processing,Documentation / validation notes
id_unificado,Identification,Unified municipal identifier used for joins.,Code,Text,Leading zeros may be removed in numeric versions.,Not applicable,DANE,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,CNPV 2018 service; DIVIPOLA update date not specified,Municipality,The source documentation defines the code as the unique DANE municipality identifier.
COD_MPIO_DIVIPOLA,Identification,Official five-character DIVIPOLA municipal code.,5-character code,Text,Preserved as text.,Not applicable,DANE,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,CNPV 2018 service; DIVIPOLA update date not specified,Municipality,The source documentation defines the code as the unique DANE municipality identifier.
codigo_departamento_divipola,Identification,DIVIPOLA department code.,Integer code,Integer,None.,Not applicable,DANE,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,CNPV 2018 service; DIVIPOLA update date not specified,Municipality,The source documentation defines the code as the unique DANE municipality identifier.
nombre_departamento,Identification,Official department name.,Text,Text,None.,Not applicable,DANE,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,CNPV 2018 service; DIVIPOLA update date not specified,Municipality,The source documentation defines the code as the unique DANE municipality identifier.
nombre_municipio,Identification,Official municipality or territorial entity name.,Text,Text,None.,Not applicable,DANE,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,CNPV 2018 service; DIVIPOLA update date not specified,Municipality,The source documentation defines the code as the unique DANE municipality identifier.
tipo_entidad_divipola,Identification,Type of territorial entity in DIVIPOLA.,Category,Text,None.,Not applicable,DANE,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,CNPV 2018 service; DIVIPOLA update date not specified,Municipality,The source documentation defines the code as the unique DANE municipality identifier.
longitud_divipola,Identification,Reference longitude for the territorial entity.,Decimal degrees,Number,None.,Not applicable,DANE,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,CNPV 2018 service; DIVIPOLA update date not specified,Municipality,The source documentation defines the code as the unique DANE municipality identifier.
latitud_divipola,Identification,Reference latitude for the territorial entity.,Decimal degrees,Number,None.,Not applicable,DANE,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,CNPV 2018 service; DIVIPOLA update date not specified,Municipality,The source documentation defines the code as the unique DANE municipality identifier.
nota_divipola,Identification,Notes inherited from the DIVIPOLA reference table.,Text,Text,None.,Not applicable,DANE,https://ags.esri.co/arcgis/rest/services/LivingAtlas/Censo_sectores_2018/MapServer,CNPV 2018 service; DIVIPOLA update date not specified,Municipality,The source documentation defines the code as the unique DANE municipality identifier.
area_m2,Territorial availability,Municipal area used in the spatial calculation.,m2,Number,Own GIS calculation from each municipal polygon.,Not applicable,Own GIS calculation; Observadores Colombia municipal reference,https://observadorescol.org/mapa-demografico-de-colombia/,Not specified,Municipal polygon; Area calculated for each municipal polygon,Municipal area calculated by the authors from the polygon geometry.
pixeles_con_viento,Territorial availability,Count of municipal pixels meeting the wind criterion after spatial processing.,Pixel count,Integer,Own count of 250 × 250 m wind pixels contained in the municipality.,Not applicable,Global Wind Atlas; own GIS calculation,https://globalwindatlas.info/en/area/Colombia,Global Wind Atlas product; extraction period not specified,250 × 250 m pixels; mean wind speed at 50 m; Pixel overlay by municipality,Calculated by the authors from Global Wind Atlas mean wind speed at 50 m.
pixeles_con_viento_tocan_al_mpio,Territorial availability,Count of wind-eligible pixels intersecting the municipality.,Pixel count,Integer,Own count of 250 × 250 m wind pixels that intersect the municipal polygon.,Not applicable,Global Wind Atlas; own GIS calculation,https://globalwindatlas.info/en/area/Colombia,Global Wind Atlas product; extraction period not specified,250 × 250 m pixels; mean wind speed at 50 m; Pixel overlay by municipality,Includes pixels that touch or intersect the municipal boundary.
densidad_pixeles_general,Territorial availability,General pixel-density indicator from the source spatial workflow.,%,Number,"pixeles_con_viento_tocan_al_mpio × 62,500 m² / area_m2 × 100.",Not applicable,Global Wind Atlas; own GIS calculation,https://globalwindatlas.info/en/area/Colombia,Global Wind Atlas product; extraction period not specified,250 × 250 m pixels; mean wind speed at 50 m; Pixel overlay by municipality,Percentage of municipal area represented by all 250 × 250 m wind pixels intersecting the municipality.
area_reserva_campesina_ha,Socio-territorial profile,Area associated with peasant reserve zones.,ha,Number,Own GIS intersection and area calculation by municipality.,Not assigned to risk,Agencia Nacional de Tierras (ANT),https://data-agenciadetierras.opendata.arcgis.com/datasets/agenciadetierras::zonas-de-reserva-campesina-constituida/explore?location=5.251750%2C-73.711963%2C7,Current constituted peasant reserve layer,"Vector polygons; Intersected area by municipality, expressed in hectares",Calculated from the overlap between constituted peasant reserve polygons and municipal polygons.
indice_pobreza_multidimensional,Socio-territorial profile,Multidimensional poverty index.,Source scale,Number,None in risk score.,Not assigned to risk,DANE,https://www.dane.gov.co/index.php/estadisticas-por-tema/pobreza-y-condiciones-de-vida/pobreza-multidimensional,2025,Municipality; Municipal value,Municipal multidimensional poverty information reported by DANE for 2025.
asesinatos_100k_habitantes,Security context,"Homicides per 100,000 inhabitants.","Rate per 100,000",Number,"2025 homicide count / municipal population × 100,000.",Not assigned to risk,Policía Nacional; DANE population,https://www.policia.gov.co/estadistica-delictiva,2025,"Municipal crime records; Homicides / municipal population × 100,000",Rate constructed by the authors from 2025 Police homicide records and municipal population.
grupos_armados_en_el_mpio,Security risk input,Names or codes of armed groups reported in the municipality.,Text category,Text,"Web scraping, JSON extraction, name cleaning and municipal assignment.",Presence indicates higher exposure,Fundación Paz & Reconciliación (PARES),https://www.pares.com.co/balance-de-grupos-armados-2025/,Balance de grupos armados 2025,Municipality after JSON extraction and cleaning; Presence and count by municipality,Authors extracted the page JSON and cleaned the armed-group records by municipality.
cantidad_grupos_armados_en_el_mpio,Security risk input,Number of armed groups reported in the municipality.,Count,Number,Count of cleaned armed-group records by municipality; median imputation and population z-score for risk.,Higher means higher risk,Fundación Paz & Reconciliación (PARES),https://www.pares.com.co/balance-de-grupos-armados-2025/,Balance de grupos armados 2025,Municipality after JSON extraction and cleaning; Presence and count by municipality,Count derived from the cleaned PARES JSON records.
es_zomac,Socio-territorial profile,Indicator of whether the municipality is classified as ZOMAC.,0/1,Number,None in risk score.,Not assigned to risk,Obras por Impuestos; ART classifications,https://www.obrasximpuestos.com/municipios-pdet-zomac/,Classification consulted for the study,Municipality; Boolean municipal classification,Municipality classified as ZOMAC or PDET according to the consulted list.
es_pdet,Socio-territorial profile,Indicator of whether the municipality belongs to a PDET territory.,0/1,Number,None in risk score.,Not assigned to risk,Obras por Impuestos; ART classifications,https://www.obrasximpuestos.com/municipios-pdet-zomac/,Classification consulted for the study,Municipality; Boolean municipal classification,Municipality classified as ZOMAC or PDET according to the consulted list.
zomac_priorizados_art_170,Socio-territorial profile,Indicator derived from the reported ZOMAC priority list.,0/1,Number,Reclassified and used as a ZOMAC boolean indicator.,Not assigned to risk,Obras por Impuestos; ART classifications,https://www.obrasximpuestos.com/municipios-pdet-zomac/,Classification consulted for the study,Municipality; Boolean municipal classification,The 170- and 52-municipality lists were treated simply as boolean ZOMAC indicators.
zomac_priorizados_art_52,Socio-territorial profile,Indicator derived from the reported ZOMAC priority list.,0/1,Number,Reclassified and used as a ZOMAC boolean indicator.,Not assigned to risk,Obras por Impuestos; ART classifications,https://www.obrasximpuestos.com/municipios-pdet-zomac/,Classification consulted for the study,Municipality; Boolean municipal classification,The 170- and 52-municipality lists were treated simply as boolean ZOMAC indicators.
densidad_cultivos_coca_ha_km2,Security risk input,Density of coca crops relative to municipal area.,ha/km2,Number,Own municipal calculation from the UNODC coca-density layer.,Higher means higher risk,UNODC,https://geoserver.unodc.org.co/geoserver/Censo/wms?service=WMS&version=1.1.0&request=GetMap&layers=Censo%3Acen_densidad_2023&bbox=-79.00392096125174%2C-0.9980765721349676%2C-68.79985023073613%2C11.221702906715691&width=641&height=768&srs=EPSG%3A4326&styles=&format=application/openlayers,2023; layer Censo:cen_densidad_2023,250 × 250 m pixels; WMS in EPSG:4326; Coca-density pixels summarized by municipal area,Municipal coca density derived from the 2023 UNODC layer.
dist_min_coca_km,Security risk input,Minimum distance from the municipality reference geometry to coca crops.,km,Number,Euclidean distance from the municipal geometry to the nearest 2023 coca-density pixel.,Lower original distance means higher risk,UNODC; own GIS calculation,https://geoserver.unodc.org.co/geoserver/Censo/wms?service=WMS&version=1.1.0&request=GetMap&layers=Censo%3Acen_densidad_2023&bbox=-79.00392096125174%2C-0.9980765721349676%2C-68.79985023073613%2C11.221702906715691&width=641&height=768&srs=EPSG%3A4326&styles=&format=application/openlayers,2023; layer Censo:cen_densidad_2023,250 × 250 m pixels; WMS in EPSG:4326; Minimum Euclidean distance by municipality,Euclidean distance calculated by the authors from the municipal geometry to the coca layer.
